pHsoil,Ecsoil,CECsoil,OC,Ptemp, C,N,H,O,pHbc,Ecbc,Ash,SSA,ITCC,BCC,SMC,BCAR,IT,CIE
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,395,-3.738317757
5.7,0.02,5.3,5046,750,50.8,1.66,1.72,45.82,10,0.18,42.7,907.4,1.4,0,70,1,365,-2.27
8.09,0.35,12.2,9200,600,25.27,1.2,0.84,12.1,10.73,0.5,60.23,7.03,20.1,0.33,,10,180,73.5915493
7.87,2.6,37.8,78900,650,75.6,0.25,3.23,18.9,3.25,0.421,1.66,0.81,50,0,47.5,5,140,18.63
7.7,0.72,,,450,69.23,0.82,2.81,,7.6,0.74,31.1,8.3,20.9,0,70,2.5,30,8.210284162
5.93,0.698,21.36,19520,600,,,,,,,,47.2,3,0,60,4,1,-24.43029327
5.93,0.698,21.36,19520,600,,,,,,,,62.3,3,0,60,4,28,18.86023023
7.7,0.72,,,450,69.23,0.82,2.81,,7.6,0.74,31.1,8.3,20.9,0,70,2.5,30,10.91956014
6.8,,,28890,,55.19,0.93,2.08,8.76,10.3,,,25.61,2.1,0,70,3,15,21.86234818
6.7,,,3320,300,13.24,0.68,1.15,2.59,10.98,,82.35,18.15,1.8,0,70,5,77,32.92682927
7.65,0.38,,,350,39.4,2,4.45,17.2,6.96,0.62,,6.51,1.36,0.08,,3,6,47.86365571
5.33,0.076,7.03,4390.6,400,54.98,1.5,2.24,13.28,10.41,8.89,28,2.01,7.21,0.48,70,3,7,63.13
5.93,0.698,21.36,19520,600,,,,,,,,47.3,3,0,60,4,28,50.48101592
8.4,0.19,,14900,,76.5,,2.8,19.8,10.7,1.9,,9.8,39.9,0,65,2.5,50,9.894331063
7.65,0.38,,,200,43.6,1.52,6.58,31.7,6.01,1.83,,7.23,1.36,0.03,,3,6,45.36993807
8.16,0.19,23.9,7800,600,24.99,0.38,1.22,10.31,10.88,0.47,62.74,35.97,5.84,0.35,,10,180,98.79518072
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,395,48.90965732
8.03,,,,500,30.09,0.27,1.54,11.94,11.55,,56.16,12.83,57.1,0,70,5,15,10.13175485
4.43,,11.3,29800,300,67.7,1.6,4.1,23.3,8.6,,5.8,6.5,2.2,0,70,5,1095,38.79068029
6.14,0.5,11.6,16300,650,75.6,0.25,3.23,18.9,3.25,0.421,1.66,0.81,50,0,47.5,5,140,1.77
6.8,0.32,16.7,,500,29.3,1.83,,,9.5,3.36,,14.5,5.9,0.005,,2,120,54.11764706
5.84,0.23,7.1,53800,600,25.27,1.2,0.84,12.1,10.73,0.5,60.23,7.03,0.99,0.33,,10,180,30
4.29,,16.34,54984,300,8.47,,1.08,6.3,9.75,,35.71,9.4,3.28,0,60,5,7,25.7
7.5,0.31,24,13920,500,71,0.87,2.9,25.23,9.6,0.2,11.2,277,31,0,60,5,28,34.35
